cntry,female,agea,eduyrs,race_intel,race_work,race_better,freq_contact
DE,0,52,12,0,0,0,1
DE,1,52,17,0,0,0,1
DE,0,62,19,0,0,1,1
DE,1,62,12,0,0,1,1
DE,1,20,14,0,1,NA,1
DE,0,49,17,0,0,0,1
DE,0,63,18,0,0,0,0
DE,1,32,13,0,1,0,1
DE,1,66,13,0,NA,1,0
DE,0,15,9,0,0,0,1
DE,1,41,14,0,0,NA,1
DE,1,78,17,1,1,1,1
DE,0,54,17,0,0,0,1
DE,0,75,12,0,0,1,1
DE,0,57,20,0,1,1,1
DE,0,35,22,0,0,0,1
DE,1,25,10,0,0,0,1
DE,1,48,19,0,0,0,0
DE,0,33,12,1,1,1,1
DE,1,43,16,1,0,1,1
DE,1,67,13,0,0,0,0
DE,0,15,9,0,0,1,1
DE,0,55,8,0,0,1,1
DE,0,62,12,0,0,0,1
DE,1,50,18,0,1,0,1
DE,0,72,15,0,0,1,1
DE,0,16,9,0,0,0,0
DE,1,16,10,0,0,1,0
DE,1,46,14,0,0,0,1
DE,1,20,12,0,0,0,1
DE,1,59,17,0,0,1,1
DE,1,66,22,0,1,0,0
DE,1,63,13,0,1,1,1
DE,1,68,10,0,1,1,1
DE,1,44,21,0,0,NA,0
DE,1,63,16,0,1,1,1
DE,1,15,10,0,0,0,1
DE,1,81,11,0,0,1,1
DE,1,26,20,0,1,1,1
DE,1,69,11,0,0,0,0
DE,0,34,15,0,0,0,1
DE,0,54,10,0,0,1,1
DE,0,74,12,1,1,1,0
DE,1,71,11,0,0,1,1
DE,1,16,11,0,1,1,1
DE,0,35,13,1,1,1,1
DE,1,20,14,0,1,1,1
DE,0,25,15,0,0,0,1
DE,0,79,13,0,0,1,1
DE,0,47,17,1,1,1,1
DE,0,22,16,0,0,0,1
DE,0,67,12,0,0,1,1
DE,0,56,16,0,0,1,1
DE,1,50,12,0,1,0,1
DE,0,28,13,0,0,1,1
DE,1,69,16,0,0,0,1
DE,0,51,14,0,0,1,1
DE,0,33,17,0,1,1,1
DE,0,80,15,1,0,NA,1
DE,1,56,19,0,1,1,1
DE,1,30,23,0,0,0,1
DE,0,46,19,0,1,1,0
DE,1,56,13,0,0,0,0
DE,1,25,16,0,0,0,1
DE,0,28,18,0,1,0,1
DE,0,46,16,0,0,0,1
DE,1,75,11,0,0,0,0
DE,0,64,13,0,0,1,0
DE,0,76,13,0,1,0,1
DE,0,43,14,0,0,NA,1
DE,1,76,13,0,0,1,1
DE,1,26,14,0,1,1,1
DE,0,40,19,0,0,1,1
DE,1,64,15,0,0,0,1
DE,0,78,12,1,1,1,0
DE,0,48,12,0,0,1,1
DE,0,51,12,0,1,1,1
DE,1,53,16,0,0,1,1
DE,1,71,12,0,0,1,1
DE,0,20,13,0,1,1,1
DE,1,54,15,1,1,1,1
DE,0,17,12,0,1,0,1
DE,0,48,11,0,0,0,1
DE,0,18,11,0,0,0,1
DE,0,58,12,0,0,0,1
DE,0,64,13,1,1,1,1
DE,1,49,12,0,1,0,0
DE,0,55,19,0,1,0,1
DE,1,57,16,0,0,0,0
DE,1,51,12,0,0,0,1
DE,1,57,15,0,1,1,1
DE,0,33,13,0,1,1,0
DE,0,33,15,0,1,1,1
DE,1,64,13,0,0,0,1
DE,0,73,19,0,1,0,0
DE,0,63,13,0,0,1,1
DE,0,40,16,0,0,0,1
DE,1,70,12,0,0,0,0
DE,1,34,21,0,0,0,1
DE,1,37,15,0,1,0,1
DE,1,63,12,0,1,0,1
DE,0,78,11,0,1,1,1
DE,1,72,11,0,1,1,0
DE,1,86,9,0,0,0,1
DE,1,22,13,0,0,0,1
DE,0,66,22,1,1,1,1
DE,1,28,13,0,1,0,1
DE,1,60,11,0,0,1,1
DE,0,31,14,0,0,0,1
DE,0,31,17,0,1,0,1
DE,1,NA,8,0,1,1,0
DE,1,50,15,0,1,1,1
DE,1,32,22,0,0,0,1
DE,1,23,15,0,1,0,1
DE,0,51,18,0,0,0,1
DE,1,56,13,0,0,NA,0
DE,1,54,13,1,NA,1,1
DE,0,68,22,0,0,NA,1
DE,0,22,14,0,1,0,1
DE,0,53,17,0,0,0,1
DE,0,75,13,0,1,0,0
DE,1,67,15,0,0,1,0
DE,0,26,18,0,0,0,1
DE,1,77,11,0,0,1,1
DE,1,75,10,0,1,1,1
DE,1,64,17,0,1,0,1
DE,0,33,20,0,0,1,1
DE,0,71,20,0,0,0,1
DE,0,68,16,0,0,0,0
DE,1,70,13,0,0,1,1
DE,0,40,15,0,1,1,1
DE,0,63,15,0,1,1,1
DE,0,32,19,0,0,0,1
DE,0,28,13,0,0,0,1
DE,1,50,17,0,1,0,1
DE,1,59,12,0,0,0,1
DE,0,30,13,0,0,0,NA
DE,1,56,14,0,1,NA,1
DE,1,16,10,0,1,1,1
DE,1,70,20,0,0,0,1
DE,1,58,14,0,1,0,1
DE,1,62,19,0,0,0,1
DE,0,24,16,0,0,1,1
DE,0,49,13,0,1,0,1
DE,0,34,17,0,1,1,1
DE,1,19,13,0,0,0,1
DE,1,48,13,1,0,0,0
DE,0,50,13,0,0,0,1
DE,1,87,9,0,1,1,0
DE,0,17,10,0,0,1,1
DE,1,50,11,0,0,1,0
DE,1,56,20,0,0,0,1
DE,1,55,23,0,0,0,1
DE,0,66,22,0,1,0,0
DE,0,65,21,0,1,NA,1
DE,1,74,18,0,0,0,1
DE,0,53,16,0,1,1,1
DE,0,73,11,0,0,0,0
DE,0,47,15,0,NA,1,1
DE,0,44,18,0,0,0,1
DE,1,36,17,0,1,0,0
DE,0,58,20,0,0,0,1
DE,0,58,16,0,0,1,1
DE,0,28,12,0,0,0,1
DE,1,83,11,0,0,0,0
DE,1,66,11,0,0,1,1
DE,1,45,8,0,0,0,1
DE,0,70,18,0,0,0,1
DE,0,21,14,0,0,0,1
DE,0,34,14,0,1,0,1
DE,0,47,10,1,0,0,1
DE,0,33,19,0,0,1,1
DE,0,56,20,0,0,0,1
DE,1,67,13,0,0,0,1
DE,0,64,16,0,0,1,1
DE,1,57,16,0,1,0,1
DE,1,19,12,0,1,0,1
DE,1,33,13,0,1,0,1
DE,0,52,7,1,1,1,1
DE,1,25,14,0,1,0,1
DE,1,39,15,0,0,0,1
DE,1,38,15,1,1,0,1
DE,0,43,18,0,0,1,1
DE,0,21,13,0,NA,0,1
DE,1,53,17,1,1,NA,0
DE,1,57,14,0,1,1,1
DE,1,26,16,0,0,0,1
DE,0,48,13,0,0,0,1
DE,1,58,17,0,0,NA,1
DE,0,57,22,0,0,0,1
DE,1,60,17,0,0,0,1
DE,0,64,17,0,1,0,1
DE,0,35,13,0,0,0,1
DE,1,83,8,0,NA,1,1
DE,1,64,11,0,1,0,0
DE,0,47,14,0,1,NA,0
DE,1,71,8,1,0,NA,0
DE,0,61,11,0,0,NA,1
DE,1,79,8,1,1,1,1
DE,0,62,15,0,0,0,1
DE,0,27,13,0,0,0,1
DE,1,77,8,NA,NA,0,0
DE,1,31,13,1,0,1,1
DE,0,73,18,0,1,0,1
DE,1,36,30,0,0,0,1
DE,0,19,12,0,0,0,1
DE,0,NA,12,0,1,0,1
DE,0,63,20,1,1,1,1
DE,0,36,14,1,1,0,1
DE,1,24,15,0,0,0,1
DE,0,53,14,0,0,0,1
DE,1,56,13,0,0,1,1
DE,1,81,13,1,1,1,1
DE,0,53,14,0,0,0,1
DE,0,79,10,0,1,1,0
DE,1,58,20,0,0,0,1
DE,1,17,11,0,0,1,1
DE,1,27,17,0,0,0,1
DE,0,54,19,0,0,0,1
DE,1,60,14,0,0,0,0
DE,0,69,12,0,0,0,0
DE,1,59,13,0,0,1,1
DE,0,19,13,0,0,0,1
DE,1,44,15,0,0,0,1
DE,0,66,12,0,1,0,1
DE,0,47,10,1,1,1,1
DE,0,43,17,0,1,0,1
DE,0,75,14,0,NA,1,1
DE,0,22,14,0,0,0,1
DE,0,22,15,0,1,0,0
DE,0,34,16,0,0,1,1
DE,0,53,14,1,1,0,1
DE,1,34,13,0,0,1,0
DE,0,46,20,0,1,0,1
DE,0,62,14,0,1,1,1
DE,0,28,19,0,1,1,1
DE,0,79,10,0,1,1,1
DE,1,16,10,0,0,1,1
DE,0,15,9,0,0,1,1
DE,0,66,13,0,0,1,0
DE,1,30,20,0,0,0,1
DE,1,57,20,0,1,1,0
DE,0,22,12,1,1,0,1
DE,1,24,15,0,0,0,1
DE,0,72,14,0,0,0,1
DE,0,58,13,0,1,1,1
DE,1,73,9,0,0,1,1
DE,0,25,14,0,1,0,1
DE,0,47,12,0,1,NA,1
DE,1,49,10,0,1,0,1
DE,0,28,10,0,1,0,1
DE,1,20,14,0,1,0,1
DE,1,54,14,0,0,0,1
DE,0,70,12,0,0,0,1
DE,1,61,19,0,0,0,0
DE,1,41,13,0,1,0,1
DE,1,59,11,1,1,1,1
DE,1,60,14,0,1,1,1
DE,1,67,12,0,0,NA,0
DE,0,64,12,0,0,0,1
DE,0,62,12,0,0,0,1
DE,0,47,22,0,0,1,1
DE,1,58,12,0,0,0,1
DE,0,59,12,0,1,0,0
DE,1,55,14,0,0,0,1
DE,0,25,17,0,0,0,1
DE,0,59,13,0,0,1,1
DE,0,49,14,1,1,1,1
DE,0,58,13,0,0,0,1
DE,1,19,13,0,1,1,0
DE,1,61,13,0,0,1,1
DE,1,93,13,0,1,0,0
DE,1,46,10,0,1,0,1
DE,1,42,18,0,0,0,1
DE,0,37,15,NA,NA,NA,0
DE,1,77,9,0,0,1,1
DE,0,23,15,0,0,0,1
DE,0,58,13,0,0,NA,0
DE,0,86,11,1,1,0,1
DE,0,67,20,0,0,1,1
DE,1,27,16,0,0,0,1
DE,0,52,21,0,0,0,1
DE,0,51,13,0,0,0,1
DE,1,59,11,0,0,0,1
DE,0,65,14,0,0,1,0
DE,1,62,13,0,0,0,1
DE,0,46,18,0,0,1,1
DE,0,72,17,0,1,0,1
DE,0,50,14,1,1,0,1
DE,0,57,20,1,1,1,1
DE,1,36,18,0,0,0,0
DE,1,55,13,0,1,0,1
DE,1,61,15,0,0,1,0
DE,0,28,16,0,0,0,1
DE,1,29,16,0,1,1,1
DE,0,29,16,0,0,0,1
DE,0,28,13,0,0,0,1
DE,1,31,16,0,1,0,1
DE,0,55,12,0,0,NA,1
DE,1,65,8,0,0,0,1
DE,0,22,15,0,0,0,1
DE,1,50,11,0,0,0,1
DE,0,65,17,NA,NA,1,1
DE,1,17,10,0,0,0,1
DE,1,50,15,0,1,1,1
DE,0,54,13,0,1,0,1
DE,0,70,9,0,1,1,1
DE,0,44,12,0,1,NA,1
DE,0,56,21,0,1,1,1
DE,0,22,15,0,1,1,1
DE,0,79,12,0,1,0,1
DE,0,60,12,0,1,0,1
DE,0,21,16,0,0,0,1
DE,0,27,17,0,1,1,1
DE,1,17,10,0,0,0,1
DE,0,49,11,0,0,0,1
DE,1,56,11,0,0,1,1
DE,1,74,22,0,0,0,1
DE,1,37,22,0,0,NA,1
DE,1,42,16,0,0,0,1
DE,0,25,9,0,0,0,0
DE,0,52,12,0,1,1,1
DE,0,58,19,0,1,NA,1
DE,1,51,14,0,0,0,1
DE,1,71,14,0,1,0,0
DE,1,54,14,0,1,0,1
DE,1,40,12,NA,0,NA,1
DE,0,20,10,0,1,0,0
DE,0,77,11,0,0,0,1
DE,0,18,13,0,1,0,1
DE,0,47,15,0,0,0,1
DE,1,18,12,0,1,1,0
DE,1,62,11,0,0,0,1
DE,1,51,15,0,1,1,0
DE,1,69,13,0,1,1,1
DE,1,52,17,0,0,0,1
DE,0,37,17,0,0,0,1
DE,1,51,13,0,0,0,1
DE,1,82,8,0,0,0,1
DE,0,87,9,0,0,NA,0
DE,1,26,18,0,0,0,1
DE,0,75,13,0,0,1,0
DE,0,64,17,0,0,0,1
DE,1,48,13,0,1,0,1
DE,0,18,8,1,1,1,1
DE,0,28,19,0,0,0,1
DE,0,84,8,0,0,0,0
DE,1,70,17,0,0,0,1
DE,0,24,9,0,0,1,1
DE,0,17,10,0,0,0,1
DE,1,22,15,0,1,1,1
DE,0,58,13,0,1,0,0
DE,0,46,10,0,0,0,1
DE,0,19,12,0,NA,NA,1
DE,0,77,10,0,1,1,0
DE,1,78,11,0,1,1,1
DE,1,52,12,0,1,1,1
DE,0,67,21,0,1,0,1
DE,0,50,15,0,1,0,1
DE,0,53,20,0,0,1,1
DE,0,46,12,0,1,1,0
DE,0,25,17,0,1,0,1
DE,0,50,15,0,1,0,0
DE,1,62,11,0,0,0,0
DE,0,55,20,0,0,0,1
DE,0,59,16,0,0,1,0
DE,0,73,14,0,0,0,0
DE,1,41,10,0,0,0,1
DE,0,79,9,0,1,0,0
DE,0,53,20,0,0,0,1
DE,1,81,14,0,0,0,0
DE,1,59,19,0,0,0,1
DE,1,59,18,0,1,0,1
DE,1,73,12,0,0,1,1
DE,1,77,10,0,1,0,0
DE,1,62,12,0,0,0,1
DE,0,38,18,0,0,0,1
DE,1,43,12,0,0,0,1
DE,1,57,19,0,0,0,1
DE,0,61,13,0,0,0,1
DE,1,45,14,0,0,0,1
DE,0,56,12,0,0,0,1
DE,1,69,13,0,1,0,0
DE,1,36,20,0,0,0,1
DE,1,67,11,0,0,0,1
DE,1,53,21,0,0,0,1
DE,1,66,11,0,0,NA,1
DE,1,27,17,0,1,0,1
DE,0,67,13,1,1,1,1
DE,0,39,15,0,1,0,1
DE,0,50,13,0,0,0,1
DE,0,66,11,0,0,0,0
DE,1,34,25,0,0,0,1
DE,0,78,13,0,0,0,1
DE,1,34,20,0,0,0,1
DE,0,59,13,0,1,0,1
DE,0,67,15,1,1,1,0
DE,0,46,17,0,1,0,1
DE,0,75,5,0,1,0,1
DE,1,60,16,0,1,1,1
DE,0,38,18,0,0,1,1
DE,1,42,12,0,0,0,1
DE,1,33,17,0,0,0,1
DE,0,75,13,0,1,1,1
DE,0,24,13,1,1,1,1
DE,0,61,17,0,1,0,1
DE,1,59,15,0,0,1,1
DE,0,71,11,0,0,1,1
DE,1,65,12,0,0,0,1
DE,1,57,17,0,1,1,1
DE,1,74,14,0,0,0,1
DE,1,58,11,1,1,1,1
DE,0,74,13,0,0,0,0
DE,0,52,15,0,0,0,1
DE,1,41,18,0,0,0,1
DE,0,60,13,0,0,1,1
DE,1,20,13,0,1,1,1
DE,0,50,12,0,1,1,1
DE,0,76,13,0,0,0,0
DE,1,77,4,0,1,1,0
DE,1,18,12,0,0,0,1
DE,0,73,15,0,0,0,0
DE,1,NA,NA,0,1,1,1
DE,0,34,15,0,0,0,1
DE,1,47,18,0,0,1,1
DE,0,56,17,0,0,0,1
DE,1,43,13,0,1,1,1
DE,0,76,11,0,0,0,1
DE,0,63,13,1,1,1,1
DE,0,50,18,0,0,1,1
DE,0,33,10,1,1,0,1
DE,1,68,11,0,0,0,1
DE,0,75,21,0,1,NA,1
DE,1,30,17,0,1,1,1
DE,1,72,11,0,0,0,1
DE,1,48,18,0,0,0,1
DE,1,22,16,0,0,1,1
DE,1,73,10,1,1,1,0
DE,1,72,12,0,0,0,1
DE,1,17,11,0,1,0,1
DE,0,67,18,1,1,1,1
DE,0,58,18,0,0,NA,1
DE,0,51,15,0,0,0,1
DE,1,38,14,0,0,0,1
DE,1,56,12,0,1,0,1
DE,0,49,17,0,0,1,1
DE,1,16,10,0,1,0,1
DE,1,64,10,0,1,0,1
DE,1,45,16,0,1,1,1
DE,1,19,12,0,1,0,1
DE,1,58,13,0,0,0,1
DE,1,49,18,0,0,0,1
DE,0,59,14,0,1,0,1
DE,1,73,10,0,1,0,1
DE,1,66,18,0,0,0,0
DE,0,51,18,0,1,0,1
DE,1,85,8,1,1,0,0
DE,1,71,11,0,0,0,1
DE,0,44,15,0,0,0,1
DE,1,26,19,0,0,0,1
DE,0,62,8,0,0,1,1
DE,0,20,13,1,1,0,1
DE,1,30,23,0,0,0,1
DE,0,84,8,0,0,0,1
DE,0,30,19,0,0,0,1
DE,0,89,10,0,1,0,1
DE,0,38,16,0,1,1,1
DE,0,46,13,0,0,0,1
DE,1,87,8,0,0,NA,0
DE,1,89,8,1,0,0,1
DE,1,36,13,0,0,0,1
DE,1,68,11,0,1,0,1
DE,1,46,16,0,0,0,0
DE,1,21,15,0,0,0,1
DE,0,76,11,0,0,0,1
DE,0,22,12,0,0,0,1
DE,0,47,14,1,1,1,1
DE,0,65,17,0,0,0,1
DE,0,52,23,0,0,0,1
DE,1,34,11,0,0,0,0
DE,1,47,13,0,1,1,1
DE,0,59,12,0,0,0,1
DE,1,17,11,0,0,0,1
DE,1,39,13,0,1,1,1
DE,0,34,17,0,0,1,1
DE,0,76,14,1,1,0,1
DE,1,47,17,0,0,0,1
DE,0,70,15,0,1,1,1
DE,0,35,12,0,0,0,1
DE,1,91,17,0,0,NA,1
DE,1,17,10,0,0,0,1
DE,0,45,13,0,0,0,0
DE,0,25,10,0,0,0,1
DE,0,49,12,0,1,1,0
DE,1,18,10,1,0,0,1
DE,1,40,13,0,1,0,1
DE,0,51,13,1,1,1,1
DE,1,49,13,0,0,0,1
DE,0,58,16,0,1,1,1
DE,1,26,16,0,1,0,1
DE,1,73,12,0,0,1,0
DE,0,29,12,0,0,0,1
DE,1,32,18,0,0,0,1
DE,1,48,13,0,0,1,1
DE,0,51,16,0,0,NA,1
DE,1,25,14,0,1,0,1
DE,1,55,13,0,0,0,1
DE,1,54,17,0,0,0,0
DE,1,50,16,0,0,1,1
DE,0,26,17,0,0,0,1
DE,0,63,16,0,0,1,1
DE,0,68,11,0,0,0,1
DE,0,46,14,0,0,0,1
DE,0,59,14,0,0,0,1
DE,1,45,13,0,0,0,1
DE,1,55,15,0,1,NA,1
DE,1,17,11,0,0,0,1
DE,1,75,8,0,1,1,0
DE,0,49,16,0,0,0,1
DE,0,75,18,0,1,0,NA
DE,1,30,14,0,1,1,0
DE,0,77,11,0,1,1,1
DE,1,46,13,0,0,0,0
DE,1,63,17,0,0,0,0
DE,1,53,20,0,1,0,1
DE,1,18,12,0,1,0,1
DE,0,47,19,0,1,0,1
DE,0,47,18,0,0,0,1
DE,1,32,13,0,1,0,1
DE,1,47,15,0,1,0,1
DE,0,60,13,0,0,1,0
DE,0,25,15,0,1,0,1
DE,0,38,20,0,1,0,1
DE,1,37,12,0,0,1,1
DE,0,36,17,1,1,1,1
DE,0,15,9,0,0,0,1
DE,1,36,19,0,0,0,1
DE,1,53,8,0,1,1,1
DE,1,41,12,NA,1,0,1
DE,0,74,14,NA,1,NA,0
DE,0,22,16,0,0,0,1
DE,0,73,15,0,1,0,1
DE,1,22,10,0,1,0,1
DE,1,NA,12,0,0,0,1
DE,0,41,19,0,0,1,1
DE,1,34,15,0,0,1,1
DE,0,NA,11,0,0,1,1
DE,0,18,13,0,0,0,1
DE,1,30,14,0,0,0,0
DE,1,62,6,0,0,0,1
DE,0,36,12,0,0,0,1
DE,1,25,14,0,0,0,1
DE,1,41,13,0,1,0,1
DE,1,25,12,0,1,0,1
DE,1,28,17,0,1,0,1
DE,0,62,14,0,0,1,1
DE,1,67,16,0,NA,NA,0
DE,1,56,13,0,0,NA,1
DE,1,47,19,0,0,1,1
DE,0,62,13,0,1,1,1
DE,0,54,14,0,0,0,1
DE,0,65,10,0,1,1,1
DE,0,49,15,1,1,0,1
DE,0,75,20,1,1,0,1
DE,1,37,15,0,1,1,1
DE,0,30,12,0,1,0,1
DE,0,64,17,0,0,NA,1
DE,0,24,16,0,1,0,1
DE,0,63,14,0,1,0,1
DE,1,41,18,0,0,1,1
DE,1,37,12,0,0,0,1
DE,0,67,14,0,0,0,1
DE,0,21,13,0,0,0,1
DE,1,51,12,0,0,0,1
DE,1,52,15,0,NA,NA,0
DE,1,30,14,0,0,0,1
DE,0,36,13,0,0,0,1
DE,1,31,13,0,1,1,1
DE,1,41,13,0,0,1,1
DE,1,40,13,0,1,0,1
DE,0,73,16,0,0,0,0
DE,1,50,14,0,0,0,1
DE,0,37,13,0,1,1,1
DE,0,50,17,0,1,1,1
DE,0,55,12,0,1,1,1
DE,0,61,20,0,0,0,1
DE,1,78,8,0,0,1,1
DE,0,71,12,0,0,1,0
DE,0,54,17,0,0,1,0
DE,1,53,14,0,0,0,1
DE,1,43,16,0,1,1,0
DE,1,40,13,1,1,1,0
DE,1,54,12,0,1,1,1
DE,1,41,14,0,0,1,1
DE,0,29,15,1,1,1,1
DE,1,28,15,1,1,1,1
DE,1,82,8,0,1,0,0
DE,0,33,8,0,0,1,1
DE,1,74,11,0,1,NA,1
DE,0,23,16,0,1,0,1
DE,1,42,17,0,1,NA,1
DE,0,73,11,1,0,1,1
DE,0,60,19,0,0,0,1
DE,1,44,13,0,0,0,1
DE,0,20,13,0,1,1,1
DE,1,42,14,0,1,1,1
DE,0,60,19,0,0,NA,1
DE,0,74,12,0,0,0,1
DE,1,65,15,1,0,1,1
DE,0,43,20,0,0,1,1
DE,0,78,14,0,1,0,0
DE,0,49,13,0,0,0,1
DE,0,35,16,1,1,0,1
DE,1,25,15,0,1,0,1
DE,0,61,16,0,0,1,1
DE,0,81,15,0,0,NA,1
DE,0,70,17,0,1,0,1
DE,1,42,16,0,0,1,1
DE,1,46,12,1,1,0,1
DE,0,31,17,0,0,0,1
DE,0,33,19,1,1,1,1
DE,1,56,14,0,0,1,1
DE,0,58,18,0,0,0,0
DE,1,36,21,0,0,0,1
DE,1,44,22,0,0,0,1
DE,0,57,14,0,0,NA,1
DE,1,77,8,NA,1,NA,1
DE,1,76,12,0,NA,0,0
DE,0,46,13,0,1,0,1
DE,0,58,19,0,0,1,1
DE,0,76,16,0,1,1,1
DE,1,57,16,1,1,0,1
DE,0,45,17,0,0,0,1
DE,1,69,16,1,1,1,1
DE,0,58,13,0,1,0,1
DE,0,26,17,1,1,0,1
DE,1,73,18,0,1,0,1
DE,0,44,13,0,0,0,1
DE,1,64,12,0,0,1,1
DE,1,28,17,NA,NA,NA,0
DE,1,80,14,0,1,1,1
DE,0,70,12,0,1,1,0
DE,1,62,13,0,1,1,1
DE,0,50,17,0,0,0,1
DE,0,30,15,0,1,1,1
DE,1,24,16,0,1,0,1
DE,0,36,26,0,0,NA,1
DE,1,25,18,0,1,0,1
DE,1,24,16,0,0,0,1
DE,1,59,9,1,0,1,1
DE,0,81,19,0,0,0,1
DE,0,47,11,0,0,1,0
DE,1,48,13,0,0,0,1
DE,1,43,16,0,0,0,1
DE,1,43,15,0,1,0,0
DE,0,65,12,0,1,0,1
DE,0,63,11,0,1,1,1
DE,1,76,8,0,1,1,1
DE,1,17,11,0,0,1,1
DE,0,38,20,0,0,1,1
DE,1,41,15,1,1,1,1
DE,1,48,13,0,0,1,0
DE,1,65,11,0,0,1,1
DE,1,57,12,0,0,0,0
DE,0,50,13,0,1,1,1
DE,0,43,20,0,0,1,1
DE,1,44,13,0,1,1,1
DE,0,39,13,0,1,1,1
DE,0,19,12,0,0,1,1
DE,0,25,15,0,0,0,1
DE,0,56,13,0,0,0,1
DE,0,76,16,1,1,0,1
DE,0,68,11,0,0,0,1
DE,0,65,17,0,0,1,1
DE,0,51,10,0,0,0,1
DE,0,60,13,0,1,0,0
DE,1,66,12,0,0,0,0
DE,0,20,12,0,0,0,1
DE,0,59,15,0,0,0,0
DE,0,70,15,0,1,1,1
DE,1,27,13,0,0,0,1
DE,1,51,16,0,0,1,1
DE,1,66,13,0,0,1,1
DE,0,63,12,0,0,0,1
DE,1,26,17,0,0,0,1
DE,0,57,14,0,0,0,1
DE,0,17,10,0,0,0,1
DE,0,70,13,0,0,0,1
DE,0,56,10,0,0,0,1
DE,1,75,10,0,0,1,0
DE,1,64,13,0,0,1,1
DE,0,76,18,0,0,0,1
DE,1,33,20,0,0,0,1
DE,0,29,17,0,1,0,1
DE,1,57,22,0,1,0,1
DE,1,38,17,0,1,0,1
DE,1,30,15,1,1,1,1
DE,1,40,15,1,0,1,0
DE,1,49,16,0,0,0,0
DE,1,51,13,1,1,1,1
DE,0,26,17,0,0,1,1
DE,0,50,12,0,1,NA,1
DE,1,22,15,0,1,0,1
